model,dataset,full_r_sq,token_ab_r_sq,token_ab_p_better_fit,word_ab_r_sq,word_ab_p_better_fit,syll_ab_r_sq,syll_ab_p_better_fit,mods_ab_r_sq,mods_ab_p_better_fit
gpt2,MPP,0.37936000413645377,0.32515297561453993, < 2e-16,0.33681815425973505, < 2e-16,0.2640749188973547, < 2e-16,0.370136775059419, < 2e-16
gpt2_med,MPP,0.36802829919946223,0.3089086291195656, < 2e-16,0.3024733049164412, < 2e-16,0.30033221418762013, < 2e-16,0.3560037687711055, < 2e-16
gpt2_large,MPP,0.31089325170525717,0.26513733912696413, < 2e-16,0.27344228210973454, < 2e-16,0.21251375248291182, < 2e-16,0.3018251230986838, < 2e-16
gpt2_xl,MPP,0.32335870085846563,0.2494314343201144, < 2e-16,0.2596682931839138, < 2e-16,0.2444323367342427, < 2e-16,0.31004089373523835, < 2e-16
llama_3,MPP,0.357691941172675,0.31584802500939757, < 2e-16,0.32102673868810216, < 2e-16,0.2709876841101746, < 2e-16,0.35110536577764306, < 2e-16
llama_3_chat,MPP,0.3197898971275145,0.28414905327062334, < 2e-16,0.2905750478105845, < 2e-16,0.20839066466227552, < 2e-16,0.31282197363885955, < 2e-16
babyopt,MPP,0.4406790109079225,0.43336841054183295, < 2e-16,0.4348641665741566, < 2e-16,0.36779607643243906, < 2e-16,0.4318497931641532, < 2e-16
babyllama,MPP,0.3098269535978213,0.29749071014387607, < 2e-16,0.2983034266042216, < 2e-16,0.28069765530833335, < 2e-16,0.30626969966871775, < 2e-16
mistral_0.3,MPP,0.32451564276344047,0.30150834314456343, < 2e-16,0.3153477236971851, < 2e-16,0.23936696171950433, < 2e-16,0.3137635115857479, < 2e-16
mistral_0.3_chat,MPP,0.2694654992628768,0.23826961224110033, < 2e-16,0.25831818441749055, < 2e-16,0.18582928960526768, < 2e-16,0.256231539486678, < 2e-16
olmo,MPP,0.3057012103310903,0.3033347676770043, < 2e-16,0.2964703445233152, < 2e-16,0.22161172097859638, < 2e-16,0.29391173865860354, < 2e-16
olmo_chat,MPP,0.262637595130884,0.25703052764761203, < 2e-16,0.25311225700210793, < 2e-16,0.2372652261715208, < 2e-16,0.25029153067676824, < 2e-16
gpt2,HNPS,0.35637337187106477,0.34277005080958833,4.338e-10,0.3322024452889928, < 2e-16,0.27801034327867413, < 2e-16,0.3485485023330437,4.158e-05
gpt2_med,HNPS,0.6543608543508861,0.6293717693614408, < 2e-16,0.6164851706411574, < 2e-16,0.5399362816919574, < 2e-16,0.6346438345298131, < 2e-16
gpt2_large,HNPS,0.5889908832499715,0.5695983330879477, < 2e-16,0.5536610969042286, < 2e-16,0.42980279281594935, < 2e-16,0.5850114620545377,1.110e-05
gpt2_xl,HNPS,0.5924183963934402,0.5865189635834678,1.114e-05,0.5571378248473173, < 2e-16,0.5269544832380108, < 2e-16,0.5889002211135614,0.003
llama_3,HNPS,0.5418139281713704,0.5236781973286857, < 2e-16,0.5186021530516268, < 2e-16,0.4845430318807554, < 2e-16,0.5375207644983202,2.038e-07
llama_3_chat,HNPS,0.45226647824173516,0.43765110419452113, < 2e-16,0.4075779993515729, < 2e-16,0.3594643132017825, < 2e-16,0.45062122126758963,0.200
babyopt,HNPS,0.49055526833240637,0.45674008460933, < 2e-16,0.47186404886347943, < 2e-16,0.4210751260029719, < 2e-16,0.44958040802401544, < 2e-16
babyllama,HNPS,0.5268525799915602,0.51382160656677,1.937e-13,0.46648376491418564, < 2e-16,0.41488554891514917, < 2e-16,0.5087427906646977, < 2e-16
mistral_0.3,HNPS,0.48837100307627923,0.4755653630949769,2.549e-11,0.4610516120094197, < 2e-16,0.45092509267686687, < 2e-16,0.45813103359695573, < 2e-16
mistral_0.3_chat,HNPS,0.4669696116799341,0.4414572843528406, < 2e-16,0.43591074761863624, < 2e-16,0.43834874562489357, < 2e-16,0.43353230215448646, < 2e-16
olmo,HNPS,0.5176392072140603,0.5002818087875873, < 2e-16,0.46836205679186704, < 2e-16,0.44276925973071624, < 2e-16,0.5126773898084087,2.059e-05
olmo_chat,HNPS,0.4106257125668705,0.3911853877068485, < 2e-16,0.37688030963693897, < 2e-16,0.2897928932100369, < 2e-16,0.39534319802719475,1.661e-14
gpt2,DA,0.5615629660189556,0.5536621376681794, < 2e-16,0.5423891692179807, < 2e-16,0.5453807561517873, < 2e-16,0.5486562572218265, < 2e-16
gpt2_med,DA,0.5714263752656963,0.5607001993759717, < 2e-16,0.5524915842231279, < 2e-16,0.5677388611516312, < 2e-16,0.5680704185203795, < 2e-16
gpt2_large,DA,0.5410761749663127,0.5276431622728104, < 2e-16,0.506126319005767, < 2e-16,0.5332816103588518, < 2e-16,0.5332143821664452, < 2e-16
gpt2_xl,DA,0.5612053109461121,0.5529976040260702, < 2e-16,0.5395204402470464, < 2e-16,0.5516735270071997, < 2e-16,0.5554897781035578, < 2e-16
llama_3,DA,0.5539409922586824,0.5439500431029216, < 2e-16,0.5315585446130351, < 2e-16,0.5382914231587299, < 2e-16,0.5492847454604264, < 2e-16
llama_3_chat,DA,0.5030768739011908,0.4929536972612226, < 2e-16,0.48964352336523953, < 2e-16,0.4857486501046223, < 2e-16,0.49567610918752636, < 2e-16
babyopt,DA,0.2519945755038917,0.24222797388358785, < 2e-16,0.2383417394371301, < 2e-16,0.24101123111786438, < 2e-16,0.2366796517340709, < 2e-16
babyllama,DA,0.6296923433781112,0.6162066497678267, < 2e-16,0.6025581215516778, < 2e-16,0.6217887191049344, < 2e-16,0.6231894373218836, < 2e-16
mistral_0.3,DA,0.5398502834020147,0.5291434259442942, < 2e-16,0.5262088471524193, < 2e-16,0.5279443139553709, < 2e-16,0.5338586172965991, < 2e-16
mistral_0.3_chat,DA,0.4781369899459377,0.4690993705570856, < 2e-16,0.4614311829992108, < 2e-16,0.46695443010129445, < 2e-16,0.4674768539908061, < 2e-16
olmo,DA,0.4671309072853713,0.45994608089579936, < 2e-16,0.4577342730799496, < 2e-16,0.4486184236771651, < 2e-16,0.4591306850126412, < 2e-16
olmo_chat,DA,0.39193683286947134,0.3835217179246756, < 2e-16,0.3880512694987087, < 2e-16,0.37413716004495345, < 2e-16,0.3850880981399555, < 2e-16
gpt2,PM,0.5429998427154665,0.5333978255909262,3.328e-09,0.5149322467443234, < 2e-16,0.45696658761723086, < 2e-16,0.5171287573686676, < 2e-16
gpt2_med,PM,0.6051856114312029,0.6024298590424528,9.647e-04,0.5807000881330673, < 2e-16,0.5344389066523987, < 2e-16,0.5798815986279352, < 2e-16
gpt2_large,PM,0.6114360937861858,0.6049183963712708,4.255e-08,0.5791025724785259, < 2e-16,0.5562538224532698, < 2e-16,0.5851454128785993, < 2e-16
gpt2_xl,PM,0.6126688284479662,0.6096131526647239,0.010,0.5825229523006656, < 2e-16,0.5608373816083676, < 2e-16,0.5902979203673637, < 2e-16
llama_3,PM,0.6080437571308288,0.602849132593446,1.026e-04,0.5856170556180209, < 2e-16,0.5636091582474867, < 2e-16,0.5901308376758807, < 2e-16
llama_3_chat,PM,0.6273286276589409,0.6193693513865807,9.947e-11,0.5992365498959564, < 2e-16,0.5550942797942756, < 2e-16,0.6022415212908406, < 2e-16
babyopt,PM,0.5621246086748344,0.5500055288218124,2.258e-10,0.5340245647945602, < 2e-16,0.507070574305917, < 2e-16,0.5418642030229261, < 2e-16
babyllama,PM,0.7188677060210666,0.7019815973738492, < 2e-16,0.6625335927331679, < 2e-16,0.6513926170725106, < 2e-16,0.7014726910950211, < 2e-16
mistral_0.3,PM,0.6055701109603555,0.5884192386284238, < 2e-16,0.562915761441686, < 2e-16,0.5654099708605085, < 2e-16,0.5882102624753534, < 2e-16
mistral_0.3_chat,PM,0.6297346585008861,0.6175242829644707, < 2e-16,0.584856779536639, < 2e-16,0.6011482381308766, < 2e-16,0.6184260429850792, < 2e-16
olmo,PM,0.6550381726716026,0.6391668444164609, < 2e-16,0.6227039594351106, < 2e-16,0.6124276859547149, < 2e-16,0.6371086186431872, < 2e-16
olmo_chat,PM,0.5108731233969435,0.5050083921405658,2.605e-05,0.49402928701248006, < 2e-16,0.4687954981993926, < 2e-16,0.4811446683285817, < 2e-16
